temp,humidity,precip,windspeed,sealevelpressure,solarradiation
13.5,56.7,0.097,35.7,1016.6,264.1
13.6,70.6,7.909,28.6,1012.4,157.4
11.4,90.7,22.645,28.5,999.3,134.5
12.8,74.6,1.453,24.5,1006.9,283.8
14.5,75.7,0,18.1,1013.8,289.7
15.1,77.3,0,21.7,1012.3,252.2
15.7,85,3.977,24.8,1013.3,266.8
15.7,76.1,0,21.5,1018.1,285.3
16.4,67.6,0,25,1021,293
19.2,54.1,0,21.8,1022.8,287
21.1,52,0,17.9,1022.5,299.7
17,57.7,0,21.6,1022.6,203.1
15.8,69.8,0.38,23,1016.8,132.7
17.3,59.9,0.124,24.5,1012.4,304
19.7,50.3,0,21.9,1015.9,308
20.6,47,0,20.9,1021,302.7
20.4,45.7,0,17.9,1022.1,296.6
21.2,45.6,0,18.2,1019.8,296.3
22.9,36,0,18,1018.4,309.8
22.8,40.7,0,17.5,1019,309.4
21.3,50.2,0,24.8,1019.8,310.1
22.2,36.5,0,18.1,1017.3,308.5
23.1,35.1,0,14.8,1016.6,290.3
23.8,42.1,0,14.1,1018,271.9
21.4,62.5,0,29,1014.2,304.1
18.4,82.1,4.01,25.4,1016.6,260.8
18.8,84.5,0.008,25.3,1020.2,215.1
20,79.9,0,18,1020.7,58.6
19.5,73.5,0,21.3,1018.2,231.9
20.6,53.2,0,18.4,1016.9,288.4
24.3,47.5,0,18.2,1014.8,226.4
20.9,72.4,0,28.9,1013.7,225.7
18,86.8,1.288,25.5,1016,122.6
18.4,68.4,0.001,21.9,1016.3,179.9
17.1,58.6,0,32.3,1017.4,244.9
18.7,54.4,0,25.6,1020.6,298.5
23.7,37.5,0,21.8,1019.9,327.4
24.5,43.8,0,15,1016.5,277.6
20.3,62.6,0,24.9,1012.7,323.8
18.6,70.9,0,18.6,1010.6,119.3
18.9,77.3,0.003,25.4,1010.9,110.8
20.2,77.5,0.008,28.9,1011.7,149.9
19.5,79.4,0.119,33.4,1013.7,227.8
19.1,80.4,1.138,30.3,1013.8,219.4
18.6,79.1,0.014,34.1,1013.8,208.1
18.9,78.3,0.595,25.1,1016.6,326.7
20,66,0,21.3,1021.9,289.6
20.4,67,0,18.1,1021.7,294.4
21.9,62.6,0,22,1021.1,327.4
22.2,69.3,0.003,17.7,1021,208.8
23.1,64.4,0,26.6,1018.7,173.1
25.2,56,0,28.4,1016.4,286.8
25.4,54.9,0,24.5,1015.4,295.9
25.8,57,0,18.3,1015.1,304.3
23.5,60.5,0,21.6,1013.8,310.1
21,75.2,0,18.3,1014,261.3
21.4,73.9,0.305,28.4,1014.2,201.6
19.3,76,0.106,21.3,1017.2,208.7
21,66.1,0,21.3,1017.6,232
19.9,71.6,0,25.1,1015.7,270.8
19.8,78.1,4.751,21.9,1012.8,295.9
18.7,59.3,0,21.9,1015.6,299.4
17.7,72.2,0.295,28.4,1014.6,299
18.4,76,0.509,26.2,1014,290.1
19.4,69.7,0,18,1016.3,289.5
18.8,71.6,0,21.5,1018.8,256.1
19.7,61.5,0.101,26.4,1016.2,308.5
18.3,52.8,0,21.9,1016.6,297.5
18.6,51.7,0,29,1020,345.5
19.7,56.6,0,28.6,1019.9,336.9
19.4,64.2,0,25.7,1018.4,237.3
18.8,53.9,0,29.7,1017,322.9
21.1,56.5,0,28.9,1015.9,307.2
22.5,58.4,0,25.2,1015.8,305
21.2,67.8,0,21.4,1017.2,239.6
20,76.5,0,21.4,1018.1,243.6
21.1,74.2,0,21.6,1017.6,176.8
21.9,71.7,0,20.6,1019.5,279.3
28.5,41.6,0,21.5,1019.8,319
31.8,22.5,0,21.4,1019,323.5
30.7,23.2,0,22,1018.1,321.4
29.6,21.6,0,21.6,1015.4,314.2
25.3,37.8,0,21.6,1012.4,197.6
27.6,40.2,0,28.4,1013.2,156.3
30.3,31.3,0,27.8,1015.8,187
26.8,48.7,0.399,21.4,1015.3,190.6
26.1,55.1,0,18.5,1013,284.4
25.3,54.5,0,17.5,1014.1,295.2
24.1,61.3,0,19.8,1015.1,
21.5,73,0,25.1,1017.6,
22.4,65.4,0,24,1019.4,3.7
23.9,58.2,0,28.4,1018.1,308.2
23.6,58,0,25.1,1017.1,186
23.6,60.1,0,21.8,1017.1,217.8
24.9,54.6,0,14.6,1017,304.9
25.1,47.8,0,21.7,1018.1,275.3
24.5,51.4,0,29.4,1019.4,301.2
24,58.3,0,25,1018.8,300.6
21.9,60.9,0,22.3,1016.5,246
22.6,66.4,0,25.4,1015.5,192
23,65,0,28.5,1015.6,159.8
25.2,62.2,0,18.5,1014.8,285.9
28,45.4,0,21.4,1014.9,283.1
25.6,55.3,0,21.5,1014.6,224.6
22.6,71.9,0,24.5,1014.3,169.3
22.3,72.7,0,25.2,1013.5,82.2
21.1,78.5,0,23.6,1013.9,81.8
21.4,77.7,0,24.1,1015,102
