temp,humidity,precip,windspeed,sealevelpressure,solarradiation
10.8,49.3,0,6.4,1028,180.7
12.4,23,0,6.7,1028.2,187.4
11.8,33,0,5.4,1023.3,147.2
11.2,39.3,0.197,5.1,1020.3,129.8
9,71.9,3.108,10.5,1023.1,31.8
8.4,82.6,1.579,4.7,1021.5,16.9
9.4,75.2,0.506,3.9,1022.1,154.8
10.5,69.2,0,4,1025.3,193.5
10.8,61.9,0,4.1,1024.8,185.5
11.9,58.4,0,4.3,1021.3,194.5
8.5,80.2,16.952,2.6,1016.3,59.5
8.8,58.6,3.028,4.2,1017,202.7
7.6,55.2,0,2.2,1017,218.8
7.6,58.2,0,3.7,1014,207.3
7,86.2,7.217,4.7,1013.5,91.5
8.3,72.3,0.001,6.3,1016.4,173
8.7,72.4,0,5.1,1020.6,99.2
10.6,69.4,0.118,9.2,1019,160
9.4,83.9,1.062,11.8,1013.9,65.2
8.2,74.1,0.236,10.9,1015.4,166.4
9.4,67.5,2.479,9.1,1013.7,226.1
8.8,78.6,16.706,11.7,1010.9,13.4
13.6,62.1,0,9,1014.4,47.5
12.8,61.1,0,5.6,1015.8,61.3
10.9,63.4,0.204,10.1,1020.9,83.3
10.3,64.3,2.463,10.2,1024.5,151.3
10.5,68.2,0,7.3,1024,106
10.9,69.4,0.04,14.6,1021.3,61
10,86.8,25.098,10.9,1019.7,61.2
9.4,84.2,7.373,13.8,1021.5,71
8.9,77.8,1.809,9.5,1021,71.4
9.2,84.9,3.348,11.3,1019.4,44
10.2,88,6.245,11,1017.7,94.8
9.8,80.6,0.172,9.6,1018.5,81.2
11.2,74.7,0.001,6.3,1022.6,137.1
11.5,69.7,0,6.8,1020.3,196.9
12.8,70.3,0.239,6,1009.5,141.5
10.7,80,7.642,7,1003.7,105.7
8.8,65.2,0.035,10.5,1006.1,117
7.1,53.5,0.498,12.5,1013.7,247.8
5.7,44.2,0,13.4,1019.1,269.2
5.7,44.6,0,11.3,1016.5,264.9
5.6,47,0,14.4,1015.4,256.1
6.7,50.4,0,10.5,1014.7,130.2
9,67.8,0,9.9,1015,250.3
12.5,60,0,17.9,1019.1,269
11,72.7,0.01,17.8,1019.1,190.1
12.9,76.9,0.277,15.5,1017.4,176.8
15,71.6,0,11.1,1014.4,185.8
15.1,60.4,0,15.9,1007.8,217.7
10.7,80.5,3.812,10.8,1009.7,129.9
11.9,68.7,2.128,7.4,1013,195.7
15.3,57.6,0.047,9.2,1017.4,250.4
